,Sentences,Categories,Perplexities (ckpt 0),Perplexities (ckpt 100),Perplexities (ckpt 200),Perplexities (ckpt 300),Perplexities (ckpt 400),Perplexities (ckpt 500),Perplexities (ckpt 600),Perplexities (ckpt 700),Perplexities (ckpt 800),Perplexities (ckpt 900),Perplexities (ckpt 1000),Perplexities (ckpt 1100),Perplexities (ckpt 1200)
0,"Мы, как представители чехословацкого войска, на долю которого в настоящее время выпадает главная тяжесть борьбы с большевиками, сожалеем о том, что в тылу действующей армии силами, которые нужны на фронте, устраиваются насильственные перевороты.",ru_multilingual_blimp_correct_affected.test,54520.80859375,14784.5419921875,5856.91259765625,4589.37255859375,3156.91064453125,3104.664306640625,2497.427734375,2425.730712890625,2460.12451171875,2380.3662109375,2389.017333984375,2310.431640625,2191.5947265625
1,В противном случае я вам этого не гарантирую.,ru_multilingual_blimp_correct_affected.test,61921.38671875,3085.925537109375,572.8443603515625,340.5659484863281,238.48880004882812,203.9022674560547,156.2594757080078,138.50881958007812,163.6463623046875,164.4307403564453,155.55902099609375,140.92916870117188,136.6041717529297
2,"Я, думалось мне, являюсь типичным представителем научной среды.",ru_multilingual_blimp_correct_affected.test,61359.98828125,32609.712890625,13394.3759765625,8245.521484375,5473.85546875,7696.2705078125,6287.7578125,8060.10107421875,8383.44140625,13158.0361328125,12778.236328125,15830.458984375,16915.986328125
3,"Но по большому счету это наша идея, и мы ее, разумеется, поддерживаем.",ru_multilingual_blimp_correct_affected.test,55145.1796875,9969.0830078125,10781.5654296875,3571.9306640625,2066.565185546875,2161.87353515625,1551.9013671875,1514.674072265625,1524.5810546875,1743.2279052734375,1864.2833251953125,1794.40234375,1977.6243896484375
4,"Я тут, поверьте, и Питер и Петрозаводск для себя по-новому открываю!",ru_multilingual_blimp_correct_affected.test,49358.66015625,7854.81982421875,5074.51513671875,4660.12841796875,3555.77294921875,2014.8896484375,2211.2041015625,2321.8935546875,2256.587890625,2573.699951171875,2197.801513671875,2122.361083984375,2073.478271484375
5,"Он сказал: ""Я с вами, Ваше Величество, встречаюсь второй раз"".",ru_multilingual_blimp_correct_affected.test,48433.1171875,12947.1474609375,5932.65234375,3942.3056640625,2853.5615234375,2743.570556640625,2782.36865234375,3156.26953125,3372.158203125,3886.797607421875,3966.54345703125,3575.799072265625,3861.33837890625
6,"Давление тех, кто говорит о том, что ""любой ценой"", ""откройте закрома родины, мы вам сейчас тут устроим такие замечательные проекты, что вы увидите, как мы унизим Запад"", - в нынешних условиях растет.",ru_multilingual_blimp_correct_affected.test,53729.421875,9806.0693359375,6429.83056640625,5993.89599609375,3950.962646484375,4086.772216796875,4131.44580078125,3326.330322265625,4053.98291015625,4568.56884765625,4996.513671875,4840.1787109375,5244.873046875
7,"Все, кто не с нами, остаются при своем мнении (но мы, разумеется, их все равно ждем и будем им рады), а нам, извините, пора делами заниматься.",ru_multilingual_blimp_correct_affected.test,46721.1953125,10573.6064453125,10073.55078125,8158.68115234375,6482.3681640625,5007.70068359375,3888.95166015625,3467.64453125,3976.89111328125,3839.73486328125,4615.10546875,4440.33544921875,4439.73828125
8,Я тебя уму-разуму научу.,ru_multilingual_blimp_correct_affected.test,53695.61328125,4135.8095703125,4291.1962890625,7489.8837890625,7259.783203125,3702.683349609375,3304.447265625,3069.73486328125,2931.310546875,4270.8681640625,3700.55126953125,3425.69287109375,3326.34912109375
9,"Я ее не сторожу, - не оборачиваясь ответила Виктория.",ru_multilingual_blimp_correct_affected.test,64889.52734375,12491.755859375,7959.287109375,8483.4111328125,4235.82177734375,4038.000732421875,4817.36962890625,5971.95166015625,8112.23828125,9172.587890625,9987.1826171875,9671.3916015625,11008.7646484375
10,"Типо, давай я тебе хотя бы проституток красивых вызову))",ru_multilingual_blimp_correct_affected.test,51520.7578125,16174.1064453125,15145.3125,15019.369140625,16148.521484375,20816.603515625,18123.298828125,18257.220703125,23231.150390625,22848.462890625,33048.90234375,28692.1953125,30163.943359375
11,"Мы их быстро отсекаем, как и всех, кто хочет идти к больным с миссией, а не с желанием поддержать и служить пациенту.",ru_multilingual_blimp_correct_affected.test,49506.359375,6549.3984375,5340.7041015625,3082.540283203125,2251.7646484375,1714.807861328125,1727.58984375,1964.5487060546875,2436.23876953125,2125.716796875,2549.062744140625,2434.78125,2344.5205078125
12,"Они думали, что я им какой-то роман пересказываю.",ru_multilingual_blimp_correct_affected.test,59205.26171875,3355.732666015625,1454.946533203125,889.7875366210938,543.8884887695312,410.96221923828125,407.3260498046875,426.5912170410156,558.7122192382812,654.1018676757812,729.4483032226562,671.1432495117188,715.0928955078125
