,Sentences,Categories,Perplexities (ckpt 0),Perplexities (ckpt 100),Perplexities (ckpt 200),Perplexities (ckpt 300),Perplexities (ckpt 400),Perplexities (ckpt 500),Perplexities (ckpt 600),Perplexities (ckpt 700),Perplexities (ckpt 800),Perplexities (ckpt 900),Perplexities (ckpt 1000),Perplexities (ckpt 1100),Perplexities (ckpt 1200)
0,"Мы, как представители чехословацкого войска, на долю которого в настоящее время выпадает главная тяжесть борьбы с большевиками, сожалеем о том, что в тылу действующей армии силами, которые нужны на фронте, устраиваются насильственные перевороты.",ru_multilingual_blimp_correct_affected.test,11864.94921875,2711.581298828125,1574.0382080078125,712.5479125976562,608.526123046875,527.0726318359375,362.076416015625,311.7474060058594,293.1072692871094,291.70947265625,280.2643127441406,277.8266906738281,277.9662170410156
1,В противном случае я вам этого не гарантирую.,ru_multilingual_blimp_correct_affected.test,11357.8955078125,1883.56982421875,626.1416625976562,145.20347595214844,118.11834716796875,109.26469421386719,70.89189147949219,77.72745513916016,72.78982543945312,89.13447570800781,67.70208740234375,78.53384399414062,78.27446746826172
2,"Я, думалось мне, являюсь типичным представителем научной среды.",ru_multilingual_blimp_correct_affected.test,11619.0263671875,5743.1640625,4804.12890625,1685.425537109375,1478.602783203125,824.5300903320312,515.8053588867188,516.2698974609375,662.9268188476562,590.1314697265625,671.7122192382812,675.9221801757812,669.6702270507812
3,"Но по большому счету это наша идея, и мы ее, разумеется, поддерживаем.",ru_multilingual_blimp_correct_affected.test,12686.2822265625,4080.45947265625,1699.3824462890625,809.2330322265625,551.39892578125,441.44464111328125,412.8340148925781,375.583984375,358.557373046875,310.65020751953125,314.15142822265625,293.1588439941406,287.4979553222656
4,"Я тут, поверьте, и Питер и Петрозаводск для себя по-новому открываю!",ru_multilingual_blimp_correct_affected.test,9217.064453125,4276.3134765625,2001.8577880859375,866.828857421875,620.8164672851562,529.0184326171875,400.4326477050781,466.6399230957031,551.7455444335938,453.5999450683594,479.24371337890625,519.1441040039062,497.1455383300781
5,"Он сказал: ""Я с вами, Ваше Величество, встречаюсь второй раз"".",ru_multilingual_blimp_correct_affected.test,12539.822265625,5424.548828125,2051.075439453125,1207.537353515625,1009.20458984375,895.2623901367188,956.2560424804688,1012.2418823242188,1070.3331298828125,1037.073974609375,1086.7659912109375,1143.71826171875,1123.8388671875
6,"Давление тех, кто говорит о том, что ""любой ценой"", ""откройте закрома родины, мы вам сейчас тут устроим такие замечательные проекты, что вы увидите, как мы унизим Запад"", - в нынешних условиях растет.",ru_multilingual_blimp_correct_affected.test,12558.408203125,3170.602783203125,1892.056640625,969.643310546875,746.3782348632812,676.7800903320312,637.7189331054688,698.2750244140625,676.7933349609375,678.5242919921875,791.7459106445312,845.681884765625,833.8477783203125
7,"Все, кто не с нами, остаются при своем мнении (но мы, разумеется, их все равно ждем и будем им рады), а нам, извините, пора делами заниматься.",ru_multilingual_blimp_correct_affected.test,12187.3466796875,3881.963134765625,3920.817626953125,2209.172119140625,1469.2294921875,1638.2835693359375,1612.717529296875,1619.8603515625,1858.58056640625,1923.9483642578125,2086.079345703125,2036.5535888671875,2028.8460693359375
8,Я тебя уму-разуму научу.,ru_multilingual_blimp_correct_affected.test,9145.763671875,1286.7333984375,1963.037353515625,1484.690185546875,1813.396484375,1209.93212890625,1015.5535278320312,1192.226318359375,1500.9339599609375,1567.675048828125,1709.1285400390625,1845.2164306640625,1851.141357421875
9,"Я ее не сторожу, - не оборачиваясь ответила Виктория.",ru_multilingual_blimp_correct_affected.test,13784.9931640625,2077.451904296875,2614.39453125,741.7354125976562,566.4921875,656.0272216796875,419.2418212890625,414.1595764160156,528.0821533203125,432.4920349121094,481.9913024902344,463.3585510253906,476.2989196777344
10,"Типо, давай я тебе хотя бы проституток красивых вызову))",ru_multilingual_blimp_correct_affected.test,11684.2314453125,3204.689697265625,1631.376708984375,1014.1182861328125,617.413818359375,786.3727416992188,599.9090576171875,670.8828735351562,786.479248046875,935.1026611328125,915.24169921875,1010.17041015625,1035.419677734375
11,"Мы их быстро отсекаем, как и всех, кто хочет идти к больным с миссией, а не с желанием поддержать и служить пациенту.",ru_multilingual_blimp_correct_affected.test,11381.3701171875,1731.331298828125,1088.5345458984375,644.4431762695312,517.2279663085938,456.0047607421875,412.8422546386719,448.206787109375,430.5680847167969,392.19189453125,447.1234436035156,441.95684814453125,446.49322509765625
12,"Они думали, что я им какой-то роман пересказываю.",ru_multilingual_blimp_correct_affected.test,12077.2109375,2430.06884765625,1153.5517578125,272.8055725097656,238.28851318359375,230.49539184570312,209.45693969726562,221.3304443359375,281.6122131347656,302.88079833984375,359.2801208496094,351.6431884765625,357.1044616699219
13,"Она писала, что я ей нравлюсь, но как друг, потом она мне написала, что я ей тоже нравлюсь, но со мной она быть не может и не знает почему.",ru_multilingual_blimp_correct_affected.test,12432.830078125,1783.1689453125,902.32177734375,494.7610168457031,395.8125915527344,370.142822265625,304.60186767578125,297.0535583496094,283.2615966796875,289.553955078125,307.0198669433594,307.2408752441406,307.20220947265625
14,"И что же - ждать, пока мы до него ""дорастем""?",ru_multilingual_blimp_correct_affected.test,15366.0595703125,2939.97265625,1908.9112548828125,2056.57177734375,1885.8775634765625,2107.8046875,2762.279296875,3061.411376953125,2305.35205078125,2224.22705078125,2415.293212890625,2772.801025390625,2677.241943359375
15,"Мы с ним почти не разговариваем, но от общих друзей я знаю, что он замкнулся в себе, начал выпивать и сильно изменился.",ru_multilingual_blimp_correct_affected.test,11457.5703125,1521.2825927734375,926.7700805664062,504.214111328125,451.2977294921875,387.2500915527344,299.39410400390625,275.744140625,292.7734069824219,309.6376037597656,327.84661865234375,352.8064270019531,355.8680114746094
