,Sentences,Categories,Perplexities (ckpt 0),Perplexities (ckpt 100),Perplexities (ckpt 200),Perplexities (ckpt 300),Perplexities (ckpt 400),Perplexities (ckpt 500),Perplexities (ckpt 600),Perplexities (ckpt 700),Perplexities (ckpt 800),Perplexities (ckpt 900),Perplexities (ckpt 1000),Perplexities (ckpt 1100),Perplexities (ckpt 1200)
0,"Yes, lovely creature, is n't she?",en_multilingual_blimp_correct_affected.test,31179.021484375,15172.650390625,45206.8828125,75486.8203125,48701.33984375,44685.53125,40481.85546875,64132.0703125,33340.6171875,74002.0625,127082.671875,86696.8203125,69345.2890625
1,There is no easy answer to the painful issue of abortion.,en_multilingual_blimp_correct_affected.test,30523.40625,822.1600341796875,720.8984375,575.7174682617188,422.6651611328125,260.145263671875,280.383544921875,332.76861572265625,361.95367431640625,262.5162658691406,404.2329406738281,260.7533264160156,427.5014343261719
2,"Right up to a week after my birth he continued to say, 'How is he?'",en_multilingual_blimp_correct_affected.test,35277.30078125,890.8544311523438,1081.6534423828125,1041.2412109375,844.8076782226562,1170.6158447265625,968.6387329101562,1502.071533203125,1920.761962890625,1730.5869140625,2182.149169921875,1712.900390625,2684.359375
3,This is whale meat that I photographed in a grocery store in Tokyo - or is it?,en_multilingual_blimp_correct_affected.test,40323.8046875,1147.2451171875,838.8991088867188,569.5661010742188,452.5747985839844,293.8503723144531,260.0039978027344,253.36195373535156,228.5585174560547,260.1061706542969,225.23651123046875,215.04713439941406,251.1992645263672
4,Among them is the former cloister from the abbey church of St. Peter and Paul.,en_multilingual_blimp_correct_affected.test,31784.150390625,1592.0518798828125,929.578369140625,532.4485473632812,346.6344909667969,385.81890869140625,317.915771484375,396.0315856933594,313.0593566894531,235.75314331054688,355.6871337890625,444.3448791503906,383.6817321777344
5,how much is a flight from washington to montreal,en_multilingual_blimp_correct_affected.test,22306.625,2868.000732421875,2229.35986328125,2027.52490234375,2636.706787109375,1973.809814453125,1885.4666748046875,1779.5870361328125,1955.97998046875,1904.1185302734375,1927.3365478515625,3642.73828125,2602.712158203125
6,Among them is the former cloister from the abbey church of St. Peter and Paul.,en_multilingual_blimp_correct_affected.test,31784.150390625,1592.0518798828125,929.578369140625,532.4485473632812,346.6344909667969,385.81890869140625,317.915771484375,396.0315856933594,313.0593566894531,235.75314331054688,355.6871337890625,444.3448791503906,383.6817321777344
7,"Right up to a week after my birth he continued to say, 'How is he?'",en_multilingual_blimp_correct_affected.test,35277.30078125,890.8544311523438,1081.6534423828125,1041.2412109375,844.8076782226562,1170.6158447265625,968.6387329101562,1502.071533203125,1920.761962890625,1730.5869140625,2182.149169921875,1712.900390625,2684.359375
8,There is no easy answer to the painful issue of abortion.,en_multilingual_blimp_correct_affected.test,30523.40625,822.1600341796875,720.8984375,575.7174682617188,422.6653747558594,260.1455078125,280.3836669921875,332.768310546875,361.9534912109375,262.5163879394531,404.2329406738281,260.753173828125,427.501220703125
9,how much is a flight from washington to boston,en_multilingual_blimp_correct_affected.test,27557.068359375,2430.291259765625,1872.888671875,1698.1407470703125,2133.319091796875,1502.2069091796875,1584.505615234375,1391.5916748046875,1574.725830078125,1904.2874755859375,1908.14599609375,3077.549560546875,3032.634765625
10,But here is a mushroom that's past its prime.,en_multilingual_blimp_correct_affected.test,33071.5078125,604.2190551757812,470.9454345703125,380.78411865234375,289.29766845703125,373.6707763671875,332.26788330078125,293.1461486816406,398.1735534667969,353.8235168457031,427.8658447265625,453.12908935546875,321.5646667480469
11,"Yes, lovely creature, is n't she?",en_multilingual_blimp_correct_affected.test,31179.021484375,15172.650390625,45206.8828125,75486.8203125,48701.2890625,44685.4921875,40481.8984375,64132.0703125,33340.6171875,74002.0625,127082.78125,86696.8203125,69345.3515625
12,how much is a flight from washington to montreal,en_multilingual_blimp_correct_affected.test,22306.60546875,2868.000732421875,2229.35986328125,2027.52392578125,2636.70556640625,1973.810791015625,1885.4676513671875,1779.58447265625,1955.98095703125,1904.1185302734375,1927.333740234375,3642.745361328125,2602.712158203125
