,Sentences,Categories,Perplexities (ckpt 0),Perplexities (ckpt 100),Perplexities (ckpt 200),Perplexities (ckpt 300),Perplexities (ckpt 400),Perplexities (ckpt 500),Perplexities (ckpt 600),Perplexities (ckpt 700),Perplexities (ckpt 800),Perplexities (ckpt 900),Perplexities (ckpt 1000),Perplexities (ckpt 1100),Perplexities (ckpt 1200)
0,"Yes, lovely creature, isn't she?",en_multilingual_blimp_correct_affected.test,22563.779296875,14364.2578125,39633.6875,33148.67578125,29996.0703125,27213.3515625,33740.73828125,43428.5,38784.3515625,45140.796875,74935.0234375,109090.140625,129605.5859375
1,There is no easy answer to the painful issue of abortion.,en_multilingual_blimp_correct_affected.test,18641.865234375,715.2507934570312,417.4476623535156,361.2698059082031,282.7242736816406,278.73724365234375,170.9748077392578,154.5225372314453,194.2336883544922,147.4296417236328,154.5243682861328,181.0779266357422,306.2965087890625
2,"Right up to a week after my birth he continued to say, 'How is he?'",en_multilingual_blimp_correct_affected.test,32747.8359375,779.2228393554688,1282.7232666015625,954.7078247070312,982.5408325195312,634.6051025390625,683.0977783203125,817.9735717773438,1040.7864990234375,1002.3349609375,1181.3726806640625,1176.9595947265625,1861.9344482421875
3,This is whale meat that I photographed in a grocery store in Tokyo - or is it?,en_multilingual_blimp_correct_affected.test,30050.556640625,1109.209716796875,621.6070556640625,402.7959899902344,359.7889404296875,249.90646362304688,244.5702667236328,243.74610900878906,289.9735412597656,247.00450134277344,242.34483337402344,238.64100646972656,412.44891357421875
4,Among them is the former cloister from the abbey church of St. Peter and Paul.,en_multilingual_blimp_correct_affected.test,18900.9375,1087.8641357421875,673.2141723632812,437.5514831542969,289.53363037109375,234.58255004882812,151.7594757080078,194.7230682373047,169.32835388183594,195.45814514160156,227.46302795410156,210.69024658203125,193.3486328125
5,how much is a flight from washington to montreal,en_multilingual_blimp_correct_affected.test,33928.7578125,2556.39892578125,3184.2451171875,2932.7001953125,2704.035888671875,1448.9368896484375,1924.2454833984375,2790.9248046875,3717.813720703125,4190.01611328125,8603.6123046875,6202.8564453125,13271.951171875
6,Among them is the former cloister from the abbey church of St. Peter and Paul.,en_multilingual_blimp_correct_affected.test,18900.9375,1087.8641357421875,673.2141723632812,437.5514831542969,289.53363037109375,234.58255004882812,151.7594757080078,194.7230682373047,169.32835388183594,195.45814514160156,227.46302795410156,210.69024658203125,193.3486328125
7,"Right up to a week after my birth he continued to say, 'How is he?'",en_multilingual_blimp_correct_affected.test,32747.8359375,779.2228393554688,1282.7232666015625,954.7078247070312,982.5408325195312,634.6051025390625,683.0977783203125,817.9735717773438,1040.7864990234375,1002.3349609375,1181.3726806640625,1176.9595947265625,1861.9344482421875
8,There is no easy answer to the painful issue of abortion.,en_multilingual_blimp_correct_affected.test,18641.865234375,715.2507934570312,417.4476623535156,361.26947021484375,282.7242736816406,278.73724365234375,170.97463989257812,154.5224609375,194.23379516601562,147.4296417236328,154.5244598388672,181.0778350830078,306.2965087890625
9,how much is a flight from washington to boston,en_multilingual_blimp_correct_affected.test,29222.9921875,2076.891357421875,1934.401123046875,2335.4970703125,1944.72509765625,1181.30517578125,1558.418212890625,2253.773681640625,2941.453369140625,3222.593994140625,5859.40966796875,4515.79541015625,7517.505859375
