,Sentences,Categories,Perplexities (ckpt 0),Perplexities (ckpt 100),Perplexities (ckpt 200),Perplexities (ckpt 300),Perplexities (ckpt 400),Perplexities (ckpt 500),Perplexities (ckpt 600),Perplexities (ckpt 700),Perplexities (ckpt 800),Perplexities (ckpt 900),Perplexities (ckpt 1000),Perplexities (ckpt 1100),Perplexities (ckpt 1200)
0,"Ok, da hätte uns eigentlich schon was komisch vorkommen müssen.",de_multilingual_blimp_correct_affected.test,48897.59375,3634.230224609375,3487.274169921875,4161.6728515625,2854.87744140625,1504.7591552734375,1454.2694091796875,1510.73291015625,1521.033935546875,1662.1153564453125,1985.070068359375,1483.838623046875,1605.2813720703125
1,Dadurch sollte Jahre später das Königreich Powys an die Herrscher des Königreiches Gwynedd fallen.,de_multilingual_blimp_correct_affected.test,51904.1953125,3909.179931640625,2486.60498046875,2519.765380859375,1729.3272705078125,2223.94287109375,2149.29248046875,2614.29833984375,2772.82470703125,3129.15185546875,4035.598388671875,4138.078125,4396.08935546875
2,"Daher sei eine thermoregulatorische Funktion, falls überhaupt, nur in einigen Stegosauriern vorgekommen und habe allenfalls eine untergeordnete Rolle gespielt.",de_multilingual_blimp_correct_affected.test,49316.69140625,11278.625,7667.39111328125,6792.822265625,4781.92333984375,4692.24609375,3218.134765625,2930.08349609375,3253.440185546875,3295.2392578125,3280.208251953125,3801.1689453125,3665.931396484375
3,Von einer tatsächlichen Verbesserung der Lage auf den Autobahnen und Landstraßen konnte denn angesichts dieses Katz- und Maus-Spieles an dem Montag nachmittag keine Rede sein.,de_multilingual_blimp_correct_affected.test,54576.0546875,2893.44580078125,2056.643310546875,2288.63232421875,2059.59423828125,2076.263427734375,1915.0936279296875,1917.74462890625,1805.4146728515625,2034.83935546875,1954.4752197265625,1988.298583984375,2069.705078125
4,"Da die Ostsee zugefroren war, konnte aus Schweden zunächst keine Verstärkung kommen.",de_multilingual_blimp_correct_affected.test,48846.7890625,5299.65771484375,4122.0712890625,3514.591552734375,1813.1673583984375,2107.478271484375,2193.609375,2306.5703125,2291.641845703125,2602.53076171875,2957.91943359375,3196.28076171875,3383.68115234375
5,"Mit ihm zusammengewachsen ist der in dem Mittelalter bedeutendste Ortsteil Adelwil (1,8 km nordöstlich des Dorfs;)",de_multilingual_blimp_correct_affected.test,56611.09375,5331.6201171875,2065.3603515625,1780.581787109375,1732.5322265625,1752.151611328125,1909.9583740234375,1452.172607421875,1874.6461181640625,2100.894287109375,2333.653564453125,2449.421142578125,2466.845947265625
6,"In dem vergangenen Jahr war ein fix und fertig ausgehandelter Vertrag zwischen dem südkoreanischen Konzern Samsung und Fokker in dem letzten Moment geplatzt, weil die Regierung in Den Haag nicht zu den von den Asiaten verlangten Garantien bereit war.",de_multilingual_blimp_correct_affected.test,57871.7890625,3896.56201171875,2026.22802734375,1530.7333984375,1111.8707275390625,1091.949462890625,979.2369384765625,962.4146118164062,950.3416137695312,943.1285400390625,832.3382568359375,989.983642578125,938.7320556640625
7,"Mit dem nach dorthin aufstrebendem Dach wird die Assoziation geweckt, als würde das ""Fischerboot"" mit dem Bug gegen eine Welle fahren.",de_multilingual_blimp_correct_affected.test,50790.98046875,4521.7294921875,5795.869140625,4689.09716796875,4244.66552734375,3423.299072265625,3178.292236328125,3345.8740234375,3654.091796875,3324.763427734375,3488.198486328125,4020.723876953125,3785.537353515625
8,"Dennoch ist hier eine durchaus originelle und einmalige Chorlösung entstanden, die sich von dem Heilig - Kreuz - Münster in Schwäbisch Gmünd und von dem Veitsdom in Prag deutlich abhebt.",de_multilingual_blimp_correct_affected.test,60298.46875,4043.3955078125,4202.3896484375,4429.4912109375,3234.633056640625,3442.322998046875,2803.597412109375,3178.9501953125,3600.40576171875,4694.59619140625,4290.6845703125,5912.03759765625,5709.54541015625
9,"Obwohl Warhol in dem Mai 1965 bei Ileana Sonnabend in Paris verkündet hatte, dass er sich nun von der Malerei zurückziehen wolle, sollte in dem April 1966 eine Ausstellung in der New Yorker Galerie von Leo Castelli stattfinden.",de_multilingual_blimp_correct_affected.test,56796.359375,4530.353515625,3373.71826171875,2996.5234375,1692.5748291015625,1132.54248046875,985.71875,939.4898071289062,951.832763671875,843.0125732421875,975.1614990234375,1068.39892578125,1066.46337890625
10,Dank der Antibiotika sei eine größere Epidemie nicht zu befürchten.,de_multilingual_blimp_correct_affected.test,53365.7265625,1417.543212890625,730.9183349609375,709.5625,462.1793212890625,662.0463256835938,524.1107788085938,679.7089233398438,775.7191162109375,991.7208862304688,1026.40380859375,955.0151977539062,954.8671875
