,Sentences,Categories,Perplexities (ckpt 0),Perplexities (ckpt 100),Perplexities (ckpt 200),Perplexities (ckpt 300),Perplexities (ckpt 400),Perplexities (ckpt 500),Perplexities (ckpt 600),Perplexities (ckpt 700),Perplexities (ckpt 800),Perplexities (ckpt 900),Perplexities (ckpt 1000),Perplexities (ckpt 1100),Perplexities (ckpt 1200)
0,kendi hatalarımı kendim yaptım bile diyemiyorum.,tr_multilingual_blimp_correct_affected.test,9433.904296875,1998.12890625,899.3446044921875,413.884765625,441.2276611328125,362.1430358886719,240.74722290039062,231.32461547851562,210.60658264160156,175.3533172607422,125.94700622558594,162.26287841796875,249.95021057128906
1,Çoğumuz bir sersem tanıyoruz.,tr_multilingual_blimp_correct_affected.test,11826.990234375,974.5586547851562,135.86952209472656,68.11797332763672,104.0001220703125,115.60424041748047,70.7225341796875,133.77499389648438,84.11927795410156,111.6251220703125,123.57925415039062,162.69253540039062,108.0890884399414
2,"Bu ikinci firar teşebbüsünden sonra, kendim de pişman oldum.",tr_multilingual_blimp_correct_affected.test,11950.904296875,1493.9862060546875,491.7115173339844,249.49342346191406,249.47616577148438,141.3475799560547,151.7545623779297,202.78807067871094,188.4080047607422,203.18946838378906,233.00009155273438,193.60398864746094,292.99462890625
3,"Eleştirileri "" Ben Balzac okudum, "" diye cevaplıyor.",tr_multilingual_blimp_correct_affected.test,11978.57421875,1117.3828125,597.7985229492188,582.3502807617188,726.05029296875,493.94989013671875,537.0577392578125,669.442626953125,700.0226440429688,761.8907470703125,721.4266357421875,703.16162109375,1289.2581787109375
4,"Biz, yolun üstünde, kasabanın çıkış yerinde boş bir handa otururduk.",tr_multilingual_blimp_correct_affected.test,12064.513671875,1660.9593505859375,642.7243041992188,306.1087341308594,424.629150390625,328.18994140625,338.3427734375,316.67242431640625,332.5868225097656,350.7708435058594,406.4698486328125,330.5325012207031,398.1114807128906
5,Bizler kendisini bu bataklıktan kurtarmak için fazlasını bile yaptık.,tr_multilingual_blimp_correct_affected.test,12607.6318359375,1181.7147216796875,935.455810546875,506.0149841308594,479.91766357421875,408.37799072265625,426.0661315917969,374.7261962890625,460.74267578125,402.107666015625,513.7826538085938,411.05218505859375,376.9714660644531
6,Ben de kendimce sınamak istedim bunu.,tr_multilingual_blimp_correct_affected.test,12202.7568359375,2308.126953125,1440.7652587890625,1222.3768310546875,687.4591674804688,388.2414855957031,395.3926696777344,259.99249267578125,217.18743896484375,252.3069305419922,270.4200439453125,300.2962646484375,350.1228332519531
7,"Ben kaçıyorum, abim de arkamdan koşuyor.",tr_multilingual_blimp_correct_affected.test,11101.2255859375,934.1849975585938,288.2354736328125,159.8647918701172,130.75376892089844,104.69087219238281,81.23006439208984,88.23118591308594,84.5283203125,85.4623031616211,93.73146057128906,78.94445037841797,83.34693145751953
8,"Ama ben, bir kitap üzerine bir fikir edinmek istedim mi o kitabı kendim okurum.",tr_multilingual_blimp_correct_affected.test,14436.3984375,949.0731811523438,344.10528564453125,268.1971740722656,188.11346435546875,134.3662109375,132.3568115234375,126.74357604980469,147.44235229492188,129.28282165527344,177.64964294433594,180.74847412109375,196.3534393310547
9,"Bu zeki ve dindar işçimiz, parmağını dudağına bastırarak ""sus!"" işareti verdikten sonra bana şöyle karşılık verdi: Mutlulukla aramızda kendimiz mi duruyoruz? Müzik aletlerini göz önüne alalım.",tr_multilingual_blimp_correct_affected.test,12566.0869140625,3946.168701171875,956.8863525390625,588.854248046875,548.1544799804688,414.2800598144531,410.8674011230469,427.44232177734375,493.0817565917969,612.8168334960938,696.0985107421875,587.2494506835938,773.1636962890625
